Genus	Local	pFDA
Dyella	1142	1135
Rhodanobacter	783	481
Aerosticca	471	0
Luteibacter	184	439
Cardiobacterium	19874	0
Dichelobacter	9137	21977
Pseudomonas	11060	18057
Permianibacter	23	0
Oblitimonas	18	35
Azotobacter	17	181
Moraxella	327	2356
Acinetobacter	316	210
Psychrobacter	34	115
Escherichia	248	150
Klebsiella	192	229
Citrobacter	137	153
Salmonella	117	209
Enterobacter	111	672
Raoultella	74	35
Kosakonia	70	76
Leclercia	49	0
Lelliottia	44	37
Cronobacter	42	154
Cedecea	25	146
CandidatusDoolittlea	9	0
CandidatusHoaglandella	2	2
CandidatusBlochmannia	1	1
CandidatusMikella	1	2
Pluralibacter	10	202
Gibbsiella	7	25
Atlantibacter	3	0
Shigella	2	0
Limnobaculum	1	1
CandidatusIshikawaella	1	0
CandidatusRiesia	1	28
Serratia	538	976
Rahnella	318	315
Yersinia	49	186
Nissabacter	35	0
Chania	3	1
Dickeya	384	1189
Pectobacterium	69	441
Sodalis	26	155
Brenneria	6	29
Lonsdalea	3	18
Erwinia	183	191
Pantoea	114	689
Mixta	30	0
Buchnera	17	7
Xenorhabdus	111	154
Proteus	44	26
Providencia	43	21
Arsenophonus	7	4
Morganella	3	244
Edwardsiella	32	82
Hafnia	4	2
Obesumbacterium	1	20
Plesiomonas	11	4
Leminorella	6	1
Pragia	2	17
Halomonas	1141	1542
Cobetia	379	0
Kushneria	166	429
Halotalea	67	382
Salinicola	27	47
Pistricoccus	27	0
Zymobacter	23	205
CandidatusCarsonella	1	3
CandidatusPortiera	1	1
Chromohalobacter	11	18
Saccharospirillum	1070	2054
Bacterioplanes	408	11
Marinobacterium	60	133
Thalassolituus	16	4
Nitrincola	13	0
Oleispira	5	0
Marinomonas	1	1383
Neptunomonas	1	0
Hahella	213	109
Alcanivorax	166	1113
Ketobacter	7	29
Kangiella	8	7
Oleiphilus	2	0
Endozoicomonas	1	0
Thioalkalivibrio	678	3758
Spiribacter	674	299
Alkalilimnicola	174	1490
Ectothiorhodospira	168	369
Halorhodospira	109	22
Acidihalobacter	81	310
Allochromatium	186	99
Thioflavicoccus	126	53
Marichromatium	114	62
Thermochromatium	83	0
Thiodictyon	67	216
Nitrosococcus	28	12
Thiocystis	7	58
Rheinheimera	3	0
Sulfurivermis	210	0
Wenzhouxiangella	165	773
Halothiobacillus	152	151
Thiohalobacter	118	329
Sulfuriflexus	10	0
Granulosicoccus	2	306
Woeseia	3	8
Guyparkeria	2	0
Photobacterium	1587	822
Vibrio	557	244
Salinivibrio	2	0
Enterovibrio	2	30
Grimontia	1	10
Marinobacter	1196	1695
Hydrocarboniclastica	39	0
Alteromonas	11	428
Saliniradius	9	0
Lacimicrobium	5	0
Catenovulum	3	1
Paraglaciecola	1	0
Shewanella	705	2034
Pseudoalteromonas	70	278
Idiomarina	20	18
Psychromonas	12	28
Colwellia	2	2
Moritella	1	0
CandidatusThioglobus	283	1
Sedimenticola	279	1
Thiolapillus	79	54
Pseudohongiella	9	20
CandidatusNardonella	2	0
Gallaecimonas	1	36
Methylomonas	748	771
Methylovulum	175	26
Methylocaldum	47	42
CandidatusMethylospira	17	0
Methylococcus	15	313
Methylomicrobium	10	370
Aeromonas	567	1039
Oceanimonas	63	115
Oceanisphaera	39	114
Zobellella	26	207
Tolumonas	4	22
Succinivibrio	89	0
Microbulbifer	266	177
Halioglobus	109	56
Kineobactrum	83	0
Congregibacter	27	28
Teredinibacter	25	131
Cellvibrio	24	439
Simiduia	18	93
Agarilytica	15	0
Saccharophagus	6	0
Spongiibacter	8	14
Sinimarinibacterium	212	0
Solimonas	41	565
Steroidobacter	163	627
Immundisolibacter	393	665
Sulfurifustis	181	97
Sulfuricaulis	153	96
Piscirickettsia	144	2
Thiomicrorhabdus	20	0
Thiomicrospira	14	174
Methylophaga	6	14
Hydrogenovibrio	2	0
Cycloclasticus	1	0
Francisella	2	14
Thioploca	1	0
Salinisphaera	118	19
Legionella	29	47
Coxiella	6	2
Rickettsiella	6	0
Gilliamella	6	1
Frischella	4	1
Ottowia	19331	46189
Comamonas	15675	30299
Acidovorax	11987	33086
Variovorax	11257	21490
Hydrogenophaga	7816	10894
Serpentinomonas	7752	0
Rhodoferax	7500	9953
Simplicispira	4932	3171
Melaminivora	4720	21726
Verminephrobacter	3210	6634
Pulveribacter	3175	0
Alicycliphilus	3095	9643
Polaromonas	2915	6599
Ramlibacter	2205	6670
Delftia	2120	7353
Limnohabitans	1605	2240
Diaphorobacter	1360	329
Curvibacter	974	1363
Hylemonella	824	0
CandidatusSymbiobacter	550	961
Lautropia	5359	0
Cupriavidus	3071	4065
Burkholderia	2569	4059
Paraburkholderia	1824	1180
Ralstonia	1808	6699
Pandoraea	571	2085
Mycoavidus	223	0
Ephemeroptericola	59	0
Polynucleobacter	37	857
Caballeronia	24	0
Mycetohabitans	3	0
Inhella	3285	0
Rubrivivax	2684	3703
Thiomonas	1650	3368
Roseateles	1605	940
Sphaerotilus	1067	0
Xylophilus	972	0
Leptothrix	609	1531
Aquabacterium	460	843
Methylibium	250	525
Mitsuaria	248	511
Paucibacter	207	747
Rhizobacter	190	433
Bordetella	4726	7139
Achromobacter	1732	4660
Pigmentiphaga	739	0
Alcaligenes	621	664
Pusillimonas	582	638
Castellaniella	174	569
Orrella	169	320
Kerstersia	105	0
Paenalcaligenes	78	171
Advenella	55	472
Taylorella	13	185
Basilea	9	2
Oligella	3	23
Pelistega	2	0
Massilia	1420	1583
Herbaspirillum	1291	2146
Janthinobacterium	990	2275
Noviherbaspirillum	450	0
Collimonas	314	772
Oxalobacter	71	1656
Undibacterium	35	0
Herminiimonas	26	152
Sutterella	83	22
Neisseria	215339	249747
Eikenella	2868	3822
Kingella	1581	317
Vitreoscilla	583	1030
Crenobacter	163	200
Snodgrassella	148	740
Simonsiella	74	114
Chitinolyticbacter	27	0
Chromobacterium	969	1818
Iodobacter	2	0
Aquitalea	820	428
