Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Vibrio	0.0214572970434193	0.161489230698461	0.242252286432694	0.355658235752899	0.0124665917870093	0	0.118490097613271	0	0.024718284260269	0.00661583500107507	0.0819786855417591	0	0.427521992379262	0.00934176623184058	0.0119288309041255	0	0.0145445224788843	0	0	0.171522610852282	0	0.0215767187205006	0.034751014144695	0.0579909751544916	0	0.462893081761006	3.4531003227357	0
Haemophilus	0.00430376942022686	0.0908492253299852	0.000942615900516318	0.00116140594443298	0.00189251875320865	0	0	0	0	0	0.00199948013516486	0	0.00563455673646474	0.00310067134503645	0.00356925649099819	0	0.00241124180384229	0	0	0	0	0	0	0	0	2.06792452830189	0.701263475932157	0
Pasteurella	0.0016287092195358	5.62413398030736	0.00141392385077448	0.00312686215808879	0.000315419792201441	0	0.0677086272075834	0	0.00145401672119229	0	0.0119968808109891	0	0.000352159796029046	0.0001093185410109	0.000645753641463489	0	0.00134324885876146	0	0	0.0764898129476392	0.0439868039588124	0	0.0061932500455892	0.00362443594715572	0.00265608952792435	2.10314465408805	0.321305134015427	0
Mannheimia	0.00114577799746414	0.1217578317606	0	0	0.00105139930733814	0	0	0	0	0	0	0	0	0.000506840508323265	0.000798386320354859	0	0.000704655139022403	0	0	0	0	0	0	0	0	0.608805031446541	0.037194717205704	0
Aggregatibacter	0.00102741250185834	0.0553109182559789	0	0.000268016756407611	0.000660879564612543	0	0	0	0	0	0	0	0.000352159796029046	0.000188822934473373	0.000176114629490042	0	0.000660614192833503	0	0	0	0	0	0.000344069446977178	0	0	1.82138364779874	0.00257501888347181	0
Bibersteinia	0.000679417944777288	0.744691467440296	0	0	0.00130673913912026	0	0	0	0	0	0.137964129326375	0	0	0.000347831721398319	0.000540084863769464	0	0.00111203389126973	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium	7.33866072755956e-05	0.725633906108584	0	0	0.000315419792201441	0	0	0	0	0	0	0	0	0.000168946836107755	0.000281783407184068	0	0.000429399225341777	0	0	0	0	0	0	0	0	1.45408805031447	0.00143056604637323	0
Campylobacter	0.0155650626721626	0.229359653582402	0.0011782698756454	0.000491364053413953	0.0199465468592149	0	0	0	0	0	0	0	0	0.0197469037262417	0.0199831399594702	0	0.0421802162124192	0	0	0	0	0	0	0	0	0.135849056603774	0.664927098354277	0
Desulfomicrobium	0.000250934850684295	4.19479381430475	0.00636265732848515	0.0170190640318833	0.00259845828813568	0	0	0	0	0	0	0	0.00140863918411618	0.00179878690208845	0.00198422482558781	0	0.00295074339465631	0	0	0.00463574623925086	0	0.00269708984006257	0	0	0	0	0	0
Bdellovibrio	0.0011694510965853	0.00818847409169269	0	0.000312686215808879	0.00141187906985407	0	0	0	0	0	0	0	0	0.000606221000151356	0.000951018999246229	0	0.00224608825563391	0	0	0	0	0	0.535372059496489	0.920606730577554	0	0	0	0
Staphylococcus	6.41562528703633	0.109237869059841	0.0351124422942328	0.0590083558690756	3.91167104299112	0	0.0169271568018958	0.0638488060273273	0.0450745183569611	0.0347331337556441	0.0899766060824186	0.201207243460765	0.0250033455180623	2.52781237599178	2.34079824542865	2.20221250563973	2.05684430986021	0	0.0239100980314019	0.0278144774355052	0.0239928021593522	0.245435175445694	0.400840905728412	0.0108733078414672	0.0292169848071679	0.0050314465408805	0.0938451326420838	0
Bacillus	0.0696273191351554	0.236157569900777	0.374689820455236	0.480241358023037	0.0637898979752152	0	0.0818145912091632	0.102158089643724	0.488549618320611	0.34898529630671	0.393897586627477	0.444424790501249	0.498658271177129	0.0403286035838394	0.057976936028122	0.0624654270231514	0.0631657270714301	0	0.0179325735235514	0.0741719398280138	0.0979706088173548	0.215767187205006	0.116639542525263	0.0598031931280694	0.259411410560612	0.155974842767296	0.693538419281741	0
Paenibacillus	0.0270323118864525	0.601856140900013	0.0780014657677253	0.108770133642089	0.150455240880087	0	0.0141059640015799	0.0212829353424424	0	0.0595425150096757	0.0259932417571431	0.00221106860945895	0.0348638198068756	0.0804087559381086	0.105152174780855	0.171885917685312	0.203832509198777	0	0.74719056348131	0.016225111837378	1.45956213136059	0.935890174501713	0.190614473625357	0.0108733078414672	0.391330523780855	0	0.132184302684886	0
Lactobacillus	0.0232895949153971	0.110712453428466	0.0459525251501705	0.0365842872496388	0.0349064570036261	0	0.0930993624104271	0.119184437917678	0.0697928026172301	0.0893137725145135	0.0939755663527483	0.0729652641121454	0.0271163042942366	0.0216351330709755	0.0298690411615112	0.0295839277304216	0.0314011946326858	0	0.0537977205706543	0.120529402220522	0.101969409177247	0.0215767187205006	0.2487622101645	0.358819158768417	0.210716435881999	0.060377358490566	0.667502117237749	0
Streptococcus	0.0182779998314475	0.436832850457753	0.357487080270814	1.02779959136379	0.0515335860496735	0	2.42622580827174	0.0851317413697697	0.0465285350781534	0.0363870925059129	0.245936056625277	0.0994980874256528	0.106704418196801	0.0237519375469138	0.0284483831502915	0.0423266864104838	0.109419730806323	0	1.34693552243564	0	0.539838048585424	1.69107532971923	0.359552572091151	0.260959388195212	0.0672876013740837	38.3547169811321	27.1747465036966	0
Clostridium	0.0785023639956782	0.236007640093465	0.535170177518139	0.799806670579711	0.0593590008942902	0	0.0677086272075834	0.0808751543012812	0.497273718647764	5.25131903210334	0.675824285685722	6.71943750414575	0.421183116050739	0.0379235956815996	0.044005175421912	0.0556582971552439	0.060908628579249	0	0.569857336415079	0.421852907771829	0.4518644406678	0.0458505272810637	0.124209070358761	0.105108642467516	0.0239048057513192	0.0050314465408805	0.00772505665041544	0
Lachnoclostridium	0.0028881180927815	0.0552796142302763	2.1847480034217	1.40771334357157	0.700877798261706	0	3.02149748913841	3.17541395309241	1.61250454380225	1.46871537023867	2.19942814868134	1.48583810555642	0.782499066776541	0.465269648591575	0.766251270960576	1.08951764418661	1.00908817955318	0	1.36885311229776	1.28873745451174	1.7074877536739	3.74086360816679	4.38378882393622	3.57006940794839	3.5007259978043	0.0050314465408805	0	0
Blautia	0.00173523816558102	0.0328016761954748	3.46269951054669	1.83542341733872	0.556265333532398	0	7.02759126558709	4.02673136679011	2.53289712831698	2.5735598154182	4.6028032711495	3.89369182125721	2.82467372394898	0.352343595727315	0.335474887227932	0.483647754818959	1.14855484589688	0	4.75213198374113	8.50195860278608	11.5065480355893	14.1489333009683	5.89356555727208	11.4423442851706	9.63098062825371	0.050314465408805	0	0
Anaerostipes	0.000906679696340423	0.00844879177911471	0.514903935657039	0.53844566362289	0.108249068685514	0	0.372397449641709	0.272421572383263	0.213740458015267	0.218322555035477	0.335912662707696	0.570455701240409	0.559934075686183	0.107917276076124	0.112748585799525	0.0903416837659492	0.0810573614606708	0	0.559894795568662	0.308277124910182	0.263920823752874	0.685060819375893	5.5209383461958	4.45261956108081	4.69065410631441	0	0	0
Anaerobutyricum	0.000577623618556301	0.00191119314816167	1.28290024060271	0.999747170859789	0.126348156761834	0	2.25695424025278	1.00029796109479	0	0	0	0	0.397236249920764	0.0583363487030895	0.0597146003724237	0.0908952047067652	0.171968884631108	0	0.944448872240376	2.86952692209628	2.00539838048585	5.46700110580683	8.05569796207667	7.81972055598847	8.76243935262245	0	0	0
Roseburia	0.000535012040138213	0.0115165862979742	0.291268313259542	0.456075180486951	0.236850223963072	0	0	0	0.882588149763722	1.3347447114669	0.901765540959351	0.451057996329626	0.506405786689768	0.192480136572647	0.22886683150996	0.372814019201524	0.155310396735157	0	0	0	0	0	0.0918665423429065	0	0	0	0	0
Lachnospira	0.000319586838135658	0.00513221263493415	5.56143381304628	5.25317309504857	0.343206773895377	0	4.95965694295548	10.543566168646	0.626681206833879	0.464762408825524	0.657828964469238	0.285227850620205	3.19866742733183	0.119922439488958	0.0773378042967273	0.125284165285122	0.0174402146908045	0	1.77532477883159	5.1224995943722	5.27441767469759	0.623027753054454	6.17914319826314	5.87158623439227	3.52728689308354	0.010062893081761	0	0
Anaerotignum	0.000243832920947947	0.00383886209932474	1.87462737215183	1.87111431540033	0.00485145680386026	0	0.315973593635389	0.19580300515047	0.447837150127226	0.43002927506988	0.653830004198908	0.756185464434961	1.43962924616674	0.00487958214875928	0.00252430968935728	0.00287359807572567	0.00304983552358134	0	0.201243325097633	0.273509028115801	0.243926821953414	0.0512447069611889	0.505782087056451	0.21202950290861	0.113326486524772	0	0.00343335851129575	0
Clostridioides	0.00304436054698116	0.0465490862198377	0.114763485887862	0.0523526064182866	0.24728911708593	0	0	0	0.0727008360596147	0.0231554225037628	0.0919760862175834	0.0641209896743096	0.0161993506173361	0.174949417814172	0.201533841013105	0.35369988118143	0.349619051320584	0	0	0.0069536193588763	0.0199940017994602	0.0161825390403754	0.0842970145094086	0.259147170221634	0.00531217905584871	0	0.569365286456545	0
Mageeibacillus	5.44481279786677e-05	0.00433807893026697	0.000471307950258159	0.00151876161964313	0.00530205650700517	0	0.0112847712012639	0	0.00290803344238459	0	0	0	0.00140863918411618	0.00313048549258487	0.00320528625671877	0.00620650076191569	0.00273053866371181	0	0	0	0.00199940017994602	0.00539417968012515	1.3779981351436	0	0	0	0.00543615097621827	0
