Genus	Basepaws_WGS1	Basepaws_WGS2	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Formosa	1617	15751	0	0	36	0	0	0	0	0	0	0	0	53	78	96	91	0	0	0	0	0	0	0	0	0	0	0
Cellulophaga	1232	11789	0	9	70	0	0	0	0	0	0	0	0	66	114	87	68	0	0	0	0	0	0	0	0	0	0	0
Aquimarina	1203	12095	0	0	40	0	0	0	0	0	0	0	0	46	30	41	154	0	0	0	0	0	0	0	0	0	0	0
Myroides	1091	18020	0	9	506	0	0	0	0	0	0	0	1	689	660	450	172	0	1	0	0	0	0	0	1	0	0	0
Maribacter	1075	15175	0	0	209	0	0	0	0	0	0	0	0	254	280	230	80	0	0	0	0	0	0	0	0	0	0	0
Gramella	1005	13967	1	36	439	0	0	0	0	0	0	0	11	545	612	504	167	0	0	0	0	0	0	0	0	0	0	0
Lacinutrix	941	10419	0	0	23	0	0	0	0	0	0	0	0	40	22	48	37	0	0	0	0	0	0	0	0	0	0	0
Algibacter	934	9495	0	0	215	0	0	0	0	0	0	0	0	241	245	161	211	0	0	0	0	0	0	0	0	0	0	0
Winogradskyella	892	10685	0	0	54	0	0	0	0	0	0	1	0	42	43	53	167	0	0	0	0	0	0	0	0	0	0	0
Nonlabens	833	21606	0	0	234	0	0	0	0	0	0	0	0	222	278	199	169	0	0	0	0	0	0	0	0	0	0	0
Dokdonia	723	12701	0	1	21	0	0	0	0	0	0	0	0	33	40	24	46	0	0	0	0	0	0	0	0	0	0	0
Empedobacter	686	5103	24	196	209	0	7	1	0	2	0	1	42	235	294	236	29	0	2	5	4	1	11	1	10	0	6	0
Kordia	612	8400	1	6	223	0	0	0	0	0	0	0	8	253	217	85	70	0	0	0	0	0	0	0	0	0	0	0
Salegentibacter	493	6807	0	0	11	0	0	0	0	0	0	0	0	16	25	17	7	0	0	0	0	0	0	0	0	0	0	0
Olleya	466	2785	0	0	11	0	0	0	0	0	0	0	0	23	13	25	41	0	0	0	0	0	0	0	0	0	0	0
Riemerella	408	73549	0	1	179	0	0	0	0	0	0	0	0	207	202	67	65	0	0	0	0	0	0	0	0	16	824	0
Apibacter	368	4671	0	0	6	0	0	0	0	0	0	0	0	5	101	7	8	0	0	0	0	0	0	0	0	0	0	0
Psychroflexus	340	5105	0	0	1	0	0	0	0	0	0	0	0	2	5	4	18	0	0	0	0	0	0	0	0	0	0	0
Aequorivita	333	10376	0	16	16	0	0	0	0	0	0	0	0	6	6	8	124	0	0	0	0	0	0	0	0	1	0	0
Urechidicola	316	3513	0	0	9	0	0	0	0	0	0	0	0	2	6	4	2	0	0	0	0	0	0	0	0	0	0	0
Lutibacter	316	4921	0	0	12	0	0	0	0	0	0	0	0	9	9	6	4	0	0	0	0	0	0	0	0	0	0	0
Arenibacter	312	3157	0	0	8	0	0	0	0	0	0	0	0	20	25	17	28	0	0	0	0	0	0	0	0	0	0	0
Antarcticibacterium	294	6240	0	2	16	0	0	0	0	0	0	0	0	25	45	18	10	0	0	0	0	0	0	0	0	0	0	0
Flavivirga	288	1671	0	0	4	0	0	0	0	0	0	0	0	13	21	11	5	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium	270	37838	1	2	3	0	0	0	0	0	0	0	0	9	8	4	7	0	0	0	0	0	0	0	0	0	0	0
Ornithobacterium	261	18408	0	0	167	0	0	0	0	0	0	0	0	446	717	1035	158	0	0	0	0	0	0	0	0	0	0	0
Psychroserpens	258	1781	0	0	53	0	0	0	0	0	0	0	0	27	39	39	69	0	0	0	0	0	0	0	0	0	0	0
Mariniflexile	256	3602	0	0	11	0	0	0	0	0	0	0	0	9	10	5	16	0	0	0	0	0	0	0	0	0	0	0
Tamlana	253	2657	0	0	7	0	0	0	0	0	0	0	0	3	10	1	2	0	0	0	0	0	0	0	0	0	0	0
Seonamhaeicola	238	4158	0	0	9	0	0	0	0	0	0	0	0	11	10	3	14	0	0	0	0	0	0	0	0	0	0	0
Wenyingzhuangia	235	2071	0	0	6	0	0	0	0	0	0	0	0	6	25	7	9	0	0	0	0	0	0	0	0	0	0	0
Muricauda	212	5511	0	1	324	0	0	0	0	0	0	0	0	535	505	378	89	0	0	0	0	0	0	0	0	0	0	0
Euzebyella	212	5014	1	0	294	0	0	0	0	0	0	0	0	408	473	436	100	0	0	0	0	0	0	0	0	0	0	0
Gillisia	202	2953	0	0	7	0	0	0	0	0	0	0	0	5	4	7	12	0	0	0	0	0	0	0	0	0	0	0
Zunongwangia	202	4326	0	0	10	0	0	0	0	0	0	0	0	14	34	6	29	0	0	0	0	0	0	0	0	0	0	0
Siansivirga	194	2148	0	0	18	0	0	0	0	0	0	0	0	19	14	42	11	0	0	0	0	0	0	0	0	0	0	0
Changchengzhania	185	2064	0	0	7	0	0	0	0	0	0	0	0	3	7	6	12	0	0	0	0	0	0	0	0	0	0	0
Zobellia	179	2788	0	0	312	0	0	0	0	0	0	0	0	365	370	244	57	0	0	0	0	0	0	0	0	0	0	0
Croceibacter	174	3931	0	0	3	0	0	0	0	0	0	0	0	15	20	9	7	0	0	0	0	0	2	0	0	0	0	0
Sediminicola	157	1603	1	4	3	0	0	0	0	0	0	0	4	7	5	10	6	0	0	0	0	0	0	0	0	0	0	0
Marinirhabdus	149	1386	0	0	71	0	0	0	0	0	0	0	0	83	96	85	25	0	0	0	0	0	0	0	0	0	0	0
Oceanihabitans	149	1120	0	0	5	0	0	0	0	0	0	0	0	11	23	7	40	0	0	0	0	0	0	0	0	0	0	0
Muriicola	130	1856	0	2	184	0	0	0	0	0	0	0	0	257	271	248	49	0	0	0	0	0	0	0	0	0	0	0
Aureitalea	118	1729	0	0	13	0	0	0	0	0	0	0	0	24	23	22	16	0	0	0	0	0	0	0	0	0	0	0
Flagellimonas	111	2043	0	0	134	0	0	0	0	0	0	0	0	195	184	58	27	0	0	0	0	0	0	0	0	0	0	0
Weeksella	108	2136	0	0	2	0	0	0	0	0	0	0	0	2	13	8	6	0	0	0	0	0	0	0	0	0	0	0
