Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Terrisporobacter	0.00381787222345243	0.00631432720843594	0	0.000642885613505741	0.000300516286981033	0.00134611423933104	0.001086106525328	0.00252889259793137	0	0.00244609419908761	0.00140398169207874	0.00491658199219902	0	0.00123964508961084	0.000347140258550065	0.00087309120435448	0.000674899541203292	0.00147898850332937	0	0	0	0	0	0.00731412967951922	0.0127492071586798	0	0	0	1.03092783505155
Acetivibrio	0.00801753166925009	0.0112993223729906	0.00247883692971258	0.012429121861111	0.077933890423748	0.00874974255565173	0	0.0126444629896568	0.223230622850033	0.303315680686863	0.241484851037542	0.680127175587532	0	0.0123964508961084	0.00428139652211746	0.00486436528140353	0.00728891504499555	0.0116675759707095	0.00381825124093165	0.0090688141618602	0.0101294544275845	0.0103485744838648	0.0192049164586134	0.0158472809722916	0.0111555562638448	0.000829331807362808	0	0	0
Faecalibacterium	0.0053450211128334	0.0458619555139032	0.00123941846485629	3.751666145215	2.12705427925175	2.10061127047608	0.00760274567729603	5.1842298257593	0.786796457586182	0.16388831133887	0.32151180748603	1.03739880035399	0.146412884333821	8.37442240286606	5.58710674794377	5.55759969766099	5.56117221951513	1.01179246833321	0	6.7526390249211	7.34182856911327	5.4209282671312	0.840215095064336	9.74668730876598	7.93638145627819	3.01462111976381	0.00497141436738752	0.00109357741981344	0
Ruminococcus	0.00381787222345243	0.0255896418447141	0	7.47825975150328	8.78198745444674	0.970952200829476	0.00760274567729603	5.46999468932554	23.9844836419527	0.0721597788730844	0.0898548282930391	0.106525943164312	0.0593064847934466	5.6465833831774	0.741838732521488	0.323293200240973	0.220557170065236	0.373855427230479	0	7.65770667827475	7.32359555114362	8.5220510874627	13.5034568849626	13.2111467336316	18.1484963903807	0.755521276507518	0.00994282873477504	0.00382752096934703	0
Flavonifractor	0.00229072333407146	0.0146226524826938	0.00123941846485629	0.790535009407559	0.549343772601329	0.590674928218458	0.00543053262664002	0.832005664719419	0.461099319329576	0.121081662854837	0.336955606098896	0.119636828476843	0.0333598976963137	0.543274460521953	0.390301364029789	0.714812241736504	0.804480253114324	1.05534046315347	0	0.326477309826967	0.484187921638541	0.36220010693527	0.897829844440177	0.406543708019943	0.3872571674449	0.330074059330398	0	0	0
Monoglobus	0.00190893611172621	0.00199399806582188	0	0.940327357354397	0.780941657768045	0.354162656367995	0	1.39847760665605	1.31010758984118	0.00611523549771902	0.00701990846039368	0.00327772132813268	0.00555998294938562	0.434805515181004	0.0707008993246965	0.0434051055879084	0.107848946684286	0.414609777099999	0	0.607610548844633	1.43230485606045	1.4470756653271	1.01305934319186	0.0987407506735094	0.145022231429983	0.651854800587167	0	0.00136697177476679	0
Vescimonas	0.00152714888938097	0.00930532430716876	0	0.629813606031124	1.07043901422644	0.672787896817651	0	0.379333889689705	1.02100563565835	0.0403605542849455	0.0379075056861259	0.0163886066406634	0.0111199658987712	0.51321306709889	0.374795765814553	0.631619122693012	2.36228337411976	1.75177971616567	0	0.25755432219683	0.368712141164077	0.631263043515756	2.59266372191281	0.517474674825985	0.669333375830691	2.6513737881389	0	0	0
Anaerotruncus	0.00114536166703573	0.00764365925231719	0	0.300227581507181	0.406698708380999	0.17001422842751	0.001086106525328	1.4515843512126	1.21496011124936	0.227486760515147	0.317299862409794	0.270412009570946	0.127879607835869	0.24916866301178	0.055658154787527	0.057998201432119	0.102179790538178	0.303685639350297	0	0.529618747052635	0.727294827900569	0.829610721123165	2.3213942769349	0.140492240927432	0.165739693062838	0.432081871636023	0	0	0
Dysosmobacter	0.000763574444690485	0.0109669893620203	0	1.07619051700861	0.553551000619064	0.872551249934377	0	0.768783349771135	0.30374002781234	0.251947702506023	0.737090388341336	0.301550362188207	0.18162610967993	1.05834699525526	0.783379850127979	1.33533063340272	1.86231779399636	0.919109188791239	0	0.299270867341386	0.419359413302	0.396695355214819	0.446514307662762	0.49857983982056	0.221517474382062	0.35744200897337	0	0	0
Oscillibacter	0.000763574444690485	0.00930532430716876	0	0.579668528177676	0.501461510875684	0.160860651600059	0	0.649925397668361	0.581863426773037	0.00244609419908761	0.00701990846039368	0.00819430332033171	0.0203866041477473	0.882627303802921	0.0718580335198634	0.0883069389547103	0.224606567312456	0.242882778657867	0	0.262995610693946	0.544964648204048	0.720950689042584	0.376896485500288	0.136530420684359	0.192831758275032	0.612876205641115	0	0.00792843629364741	0
Solibaculum	0.000381787222345243	0.005317328175525	0	0.606884019149419	1.07404520967021	0.0549214609647062	0	0.98121032799737	1.24789577691576	0.2959773980896	1.19198045657485	0.432659215313514	0.13158626313546	0.957625831724377	0.0212912691910706	0.0362956486381648	0.0403589925639569	0.124070702223741	0	0.243044219537853	0.384919268248212	0.446713465220166	3.26963702707893	0.501627393853693	0.435066694289949	1.33356554623939	0	0.000273394354953359	0
Acutalibacter	0.000381787222345243	0.00498499516455469	0.00123941846485629	0.54988149475191	0.291701142562923	0.0336528559832759	0	0.171964696659333	0.164678328331992	0.121081662854837	0.160053912896976	0.193385558359828	0.107493003688122	0.218177535771509	0.0160841653128197	0.0183349152914441	0.0392791532980316	0.0696767917124058	0	0.0743642761272536	0.145864143757217	0.162127666913883	0.492125984251969	0.06277961308254	0.066933337583069	0.0663465445890246	0	0	0
Mogibacterium	0.000381787222345243	0.0152873185046344	0.0235489508322695	0	0	0.00269222847866207	0.0749413502476323	0	0	0	0	0	0	0	0.000809993936616817	0.000623636574538914	0.00202469862360988	0.00492996167776456	0.011454753722795	0	0	0	0	0	0	0	0	0	1.03092783505155
Fenollaria	0.00190893611172621	0.00963765731813907	0.00123941846485629	0.339872194340035	0.00240413029584827	0.00161533708719724	0.001086106525328	0.204840300432441	0	0	0	0	0	0.00185946763441627	0.000694280517100129	0.000623636574538914	0.0032395177977758	0.00197198467110582	0	0	0	0	0	0.152072946253337	0.680488932094535	1.12291526716924	0	0	0
Intestinimonas	0.00152714888938097	0.00697899323037657	0	0.33258615738697	0.223383773322568	0.203128638715053	0	0.531067445565587	0.274463880553319	0.270293408999181	0.263948558110802	0.514602248516831	0.107493003688122	0.12458433150589	0.103447797047919	0.177861151058498	0.357831736745985	0.37927838507602	0	0.35549751514492	0.415307631530966	0.256989599682644	0.362492798156328	1.13826143137518	1.18726991665206	0.614534869255841	0	0.000546788709906718	0
Heliorestis	0.00114536166703573	0.00199399806582188	0	0.00342872327203062	0.00791359555716721	0.000538445695732414	0	0	0.00731903681475518	0.00366914129863141	0.00561592676831494	0.0163886066406634	0.00370665529959041	0.0083676043548732	0.000231426839033376	0.000249454629815566	0.000134979908240658	0.00180765261518034	0	0.00181376283237204	0.00202589088551691	0	0.0168043019012867	0.918228030182975	0.0302793670018646	0.00331732722945123	0	0.00191376048467351	0
Halobacteroides	0.00152714888938097	0.00166166505485156	0	0.00557167531704976	0.00170292562622586	0.000134611423933103	0	0	0	0.677568093147267	0.404346727318676	0.547379461798158	0.320625683414571	0.0111568058064976	0.000115713419516688	0.000249454629815566	0.000134979908240658	0.000328664111850971	0	0	0	0	0	0	0	0	0	0	0
