Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS.DOWNSAMPLE_1M
Streptococcus	0.115286144202504	0.426899988288584	51.4218572267847	0.100304669911471	0.11453941178066	0.0480293348398945	43.1314932206374	0.192020482184766	0.0478354460655346	0.023621851455852	0.0117272820557925	0.0651846899548721	0.00374181478016838	0.0183950041705915	0.0287859022352253	0.0287207602754918	0.0443079841739369	0.0788629202539604	51.5902551314023	0.0609917793688677	0.0437479091072853	0.073418268192615	0.393678802769712	0.278899519187027	0.247659529622539	0.0573596077342955	37.3602150537634	25.2213919594887	11.3636363636364
Granulicatella	0.00349351952128801	0.0151115040102154	2.09372382845214	0.00243028935908851	0.00260791010429554	0.00123152140615114	0.638316605036098	0	0	0	0	0	0	0.00190293146592325	0.00143929511176127	0.00127963783405657	0.00171615431659615	0.00199882977602204	2.45539996163438	0	0	0	0	0.000349936661464275	0	0	0.456989247311828	0.00154387698388192	0
Abiotrophia	0.000998148434653717	0.00188893800127692	0.218747265659179	0	0	0.000153940175768893	0.00770382109526325	0	0	0	0	0	0	0	0.000130845010160115	0.000142181981561841	0.000624056115125872	0.000726847191280741	1.5499712257817	0	0	0	0	0	0	0	0	0	0
Clostridium	0.402752893382775	0.468456624316677	0.0512493593830077	1.32517050689208	2.1660258162237	0.201045869554174	0.0220109174150379	1.51838418320176	2.73618751494858	0.530870030086779	2.204729026489	0.737088417182016	5.53040224508887	1.12114378867312	0.138957400790042	0.16763255626141	0.210306910797419	0.240404708516105	0.0422021868405908	1.75019888623707	1.46426825188502	1.47052472468149	1.5523788251061	0.715270536032978	0.519909367150862	0.500508835229901	0.043010752688172	0.0333477428518496	2.27272727272727
Blautia	0.013974078085152	0.0710240688480123	0.00499993750078124	5.7582392332658	2.54271235168815	1.01015543339547	0.0187092798027822	7.9155109878387	2.31523558957187	4.88599348534202	4.33323071961535	6.43322747785392	6.33863423760524	1.5654782859662	0.551642562835045	0.557069003759292	0.797855743188428	2.65935216109841	0.00767312488010742	3.53752320339433	5.44532798064798	6.16065644569207	14.437681483136	16.5481547839841	16.4807756485694	13.8736238319919	0.00537634408602151	0.00216142777743469	0
Anaerostipes	0.0114787069985177	0.0185115924125138	0.00249996875039062	0.562059648138288	0.434686456183981	0.0886695412428822	0.00330163761225568	0.558281772277932	0.243960774934226	0.302111047566949	0.757875602855593	0.462978438910246	0.374181478016838	0.610523845317044	0.0917223521222406	0.0973946573698608	0.0741066636711973	0.0992146416098212	0.00383656244005371	0.647043224608857	0.373143930620963	0.354135175987908	0.315501451865088	2.31868031886229	1.80914408163982	2.77453973540568	0	0.000308775396776385	0
Lachnoclostridium	0.010480558563864	0.0502457508339661	0.00374995312558593	0.16857370736223	0.134776794189994	0.305417308725483	0.0132065504490227	0.501386814593557	0.157856972016264	2.11477733296865	1.95992201357433	1.25856593682099	1.64078578110384	0.140499773234	0.172061188360551	0.258344660497864	0.378490033823841	0.81388714243661	0	0.86714399363564	0.46835996808976	0.472900021593608	0.254076390440027	0.228508639936172	0.356559464633868	0.399666944213156	0	0	0
Roseburia	0.00648796482524916	0.0230450436155785	0.00249996875039062	1.77941368164535	4.47058381718759	0.311267035404701	0.00220109174150379	1.45082142095157	7.31403970342023	0.0111892980580352	0.0175909230836888	0.0284138392110981	0.0112254443405051	6.93872243524483	0.273596916244801	0.328724741370976	0.467730058286841	0.146277997245249	0	8.63696632193052	9.97709668287913	12.2716475923127	0.0698012061648425	6.10814442585892	7.80566630952172	2.36099546674068	0.00537634408602151	0.000308775396776385	0
Anaerobutyricum	0.00648796482524916	0.00831132720561846	0.00124998437519531	0.782774109022781	0.554546004577404	0.169026312994244	0.00220109174150379	1.05611265201621	0.377900023917723	0.00372976601934505	0	0	0	0.23945220946201	0.0525996940843662	0.0578680664956691	0.0951685575566955	0.219144428171143	0	0.464067886502254	1.45397462621272	0.969553012308357	1.15870002233639	2.15456002463554	2.1551648428855	4.12989175686928	0	0.000308775396776385	0
Mediterraneibacter	0.00648796482524916	0.0215338932145569	0.00249996875039062	2.01714016804346	0.863739826542683	0.15286259453851	0.00330163761225568	3.76573501173459	1.7986127720641	5.33107889698386	6.29901637421757	6.61875313387932	5.46679139382601	1.52583388042613	0.116452059042502	0.120143774419755	0.173019557918648	0.24494750346161	0	2.57491381596394	3.72114568053733	4.70092852515655	1.73944605762788	2.24274406332454	2.95259339925878	3.36386344712739	0.043010752688172	0.00061755079355277	0
