Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Desulfomicrobium	9.54641270154029e-05	7.33371552362439	0	0.000792627507345015	0.000938112215940924	0	0	0	0	0	0	0	0	0.000386579505874076	0	0	0	0	1.1020924437346e-05	0	0.00299544692068057	0	0.00464943276920216	0	0	0	0	0	0
Bdellovibrio	0.000105010539716943	0.00193656742655165	0	0.000264209169115005	0.000364821417310359	0	0.000326058957980782	0	0	0	0	0	0.00504566325243453	0.000773159011748151	0	0	0	0	0.000154292942122844	0	0	0	0	0.790712204315117	1.41445891333633	0	0	0	0.0130146197561928
Staphylococcus	2.68196282009559	0.0137788309357425	0.0231778869713786	0.0105683667646002	0.0533160442726425	0.549527062472863	0.214220735393374	0	0.0188276641144722	0.0132546888461793	0.00561597933319605	0.0320777197323802	0.0277511478883899	0.025514247387689	1.35638628393291	1.06878472601219	0.879483069189816	0.600305881021181	0.0127842723473213	0	0	0.00808996035919424	0.0325460293844151	0.133151018861354	0.00561293219577908	0.00960626328366095	0	0.0349549202063546	5.70907986638324
Bacillus	0.00672385667945154	0.0333289401942638	0.0145689575248666	0.366986535900742	0.425538124619869	0.013537285977335	0.00749935603355799	0.0253926796532085	0.031379440190787	0.0414209026443104	0.0262079035549149	0.0710292365502704	0.0428881376456935	0.48090490530735	0.00711688321491181	0.0100890100273159	0.0105040024393513	0.00879264166368282	0.0136879881511837	0.00741839762611276	0.0389408099688473	0.0782029501388777	0.167379579691278	0.0517240496346029	0.0252581948810058	0.0204133094777795	0.0731577547220005	0.139819680825418	0.589996095614073
Gemella	0.000140014052955924	0.0470462927990047	2.09627432022569	0.000264209169115005	0.000260586726650257	9.1313902039359e-05	0.923725027959556	0	0	0	0	0	0	0	0.000188705236759025	0.00014061338017165	0.000159393056742812	0.000272405421594304	1.3351960165089	0	0	0	0.00464943276920216	0.0107545053695709	0.0112258643915582	0.00120078291045762	2.93961159882948	5.20989023351494	0.724480499761399
Streptococcus	0.00216703568324964	0.404842494437172	59.5516072209051	0.172000169093868	0.160365071580568	0.0231252456914677	53.6455021797041	0.210396488555157	0.0815865444960462	0.0215388693750414	0.0187199311106535	0.132893410319861	0.0151369897573036	0.0514150742812521	0.0104731406401259	0.0135340378415213	0.0202588575120115	0.0584006956629122	60.1885415669043	0.0519287833827893	0.0449317038102085	0.0943828708572661	0.6462711549191	0.415840874290075	0.395711719802425	0.0720469746274571	45.9164671455174	31.8760747633512	5.44011105808859
Clostridium	0.00986144432069111	0.0530327452802893	0.00231778869713786	0.404504237915073	0.643440745444814	0.0176007546180865	0.00195635374788469	0.0616679363006493	0.0439312162671018	0.540128570481808	5.84997847207922	0.735496288149574	7.18754730309299	0.380007654274216	0.00966440391115865	0.0114072604664251	0.0157161553948413	0.0186295041101438	0.00596232012060418	0.257171117705242	0.197699496764917	0.26157538494728	0.0557931932304259	0.152611552387244	0.134710372698698	0.0192125265673219	0.00665070497472732	0.0056249296883789	0.642054574638844
Lachnoclostridium	0.000251388867807228	0.0228507271541719	0.00165556335509847	1.95144892308343	0.996900581473222	0.779181526101851	0.00456482541173095	2.31436137410672	1.17986695117359	1.60547418649347	1.38714689529943	2.20419759875355	1.4758565013371	0.730248686596129	0.472100065534633	0.8786578593476	1.10076844986586	1.0314933961359	0.000231439413184266	0.986646884272997	1.12029714833453	1.55596904241836	2.1480379393714	3.17821239635986	2.63807813201617	2.92630795278522	0.00665070497472732	0.00160712276810826	0.043382065853976
Blautia	0.000210021079433886	0.00849169446960146	0.000331112671019695	2.65741582295872	1.09368249175113	0.492570016075812	0.00163029478990391	3.8596873072877	1.63800677795908	2.17708264298496	2.39240719594152	3.83787003940977	2.66915586053787	2.11536305614294	0.300984852630645	0.304902538229702	0.38209703562387	0.896879716964713	6.61255466240759e-05	2.6730959446093	5.24802300503235	7.20006471968287	5.00278965966152	3.06196131450783	6.24438706780422	6.5646801714718	0.0133014099494546	0	0.0173528263415904
Lachnospira	7.63713016123223e-05	0.00268583458563413	0	4.92750100399484	4.59200717968549	0.402602994091534	0.000652117915961564	3.47879711248957	8.06451612903226	0.649479753462787	0.488590201988057	0.675923380075154	0.280034310510117	2.79651614549306	0.126122492882443	0.0861432720276572	0.123561497587028	0.0151185008984839	1.1020924437346e-05	1.24629080118694	4.13671219745986	4.35509532669957	0.395201785382183	3.97097307788822	4.10585990121239	2.9551267426362	0.00665070497472732	0	0
