Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Desulfomicrobium	6.64783619579663e-05	2.56036263468262	0	0.000539786298604383	0.000321890829652154	7.55655419617344e-05	0	0	0	0	0	0	0	0.000393282730955284	2.22276013017372e-05	6.13875991524828e-05	7.96234553713187e-05	4.94607174326524e-05	2.32466720645439e-05	0	0	0	0	0	0	0	0	0	0
Staphylococcus	1.35898866278015	0.00668168473571087	0.0168069917085508	0.00161935889581315	0.0049356593879997	0.0154531533311747	0.0329036121585428	0	0	0.0052415480038438	0.00201726781247478	0.0152597980620056	0.00787877196207684	0.00904550281197153	0.0102691518014026	0.0159300819800693	0.0153938680384549	0.00907604164889172	0.00357998749793976	0	0	0	0	0.000681115394570148	0	0.00150432493418578	0	0.0302634814352456	0.737359550561798
Gemella	7.59752708091043e-05	0.0309322699235556	1.13567243973493	0.000269893149302191	0.000214593886434769	0	0.512638277430096	0	0	0	0	0	0	0	0	3.06937995762414e-05	0	7.41910761489787e-05	0.618686930325772	0	0	0	0	0.0122600771022627	0.0111948652884544	0.00150432493418578	4.61144321093083	7.75438662858512	1.79073033707865
Streptococcus	0.00189938177022761	0.188472639581868	68.2884079777187	0.151679949907831	0.136159820942861	0.0160198948958877	66.5541363130845	0.136767722817415	0.0700607192900514	0.0209661920153752	0.0141208746873235	0.0966453877260358	0	0.0420812522122154	0.0077574328543063	0.0104665856554983	0.0160308556814255	0.0484962334427157	65.0428633762862	0.028685350391555	0.0226517668378134	0.0948633265406507	1.10689093868692	0.377337928591862	0.429136502724084	0.055660022564874	21.263877028181	19.7330508741733	13.7991573033708
Clostridium	0.00315297373857783	0.00499161153785459	0	0.280149088975675	0.440561248850582	0.00600746058595788	0	0.0319124686573969	0.0233535730966838	0.41408229230366	4.95037521181312	0.628195020219232	7.17756125745201	0.34687536870256	0.00462334107076135	0.00432782574025004	0.00674145255477165	0.00642989326624482	0.000302206736839071	0.203665987780041	0.1698882512836	0.259995783852154	0.0542593597395551	0.13758530970317	0.134338383461452	0.00752162467092892	0.0106746370623399	0.00252195678627047	0
Hungatella	9.49690885113804e-06	0.000628864445713965	0	0.165174607372941	0.168241606964859	0.00400497372397192	0	0.282653293822658	0.288027401525767	0	0.00605180343742435	0.00254329967700094	0.00262625732069228	0.154560113265427	0.00164484249632856	0.011448787241938	0.00560018302778275	0.00121178757709998	0	0.131952611801153	0.245394140742978	0.44269552385637	0.596852957135106	0.209783541527606	0.246287036345996	0.218127115456939	0	0	0
Blautia	0.000132956723915933	0.000167042118392772	0	2.70756807379958	1.11733671819424	0.269844550345353	0	4.57715979028949	1.79044060407909	2.29055647767974	2.56999919309288	4.26002695897658	2.77595398797174	2.14535729736107	0.170574612389532	0.183426146267619	0.215673399449112	0.412700226258052	2.32466720645439e-05	2.92303720489946	6.19525823014195	8.73796641135549	11.3185024416712	3.86260540260731	7.95208597656542	7.93380970289583	0.0106746370623399	0	0
Lachnoclostridium	0.000123459815064795	0.00425466101553354	0.000800332938502417	1.96563180636786	0.979245552273461	0.638491046805674	0.00263228897268342	2.59858673353089	1.23773937412424	1.69302000524155	1.48269184216897	2.4263078918589	1.52848176064291	0.722067094033901	0.359820409872523	0.719953762860318	0.855102828384382	0.91091803295716	2.32466720645439e-05	1.04701528929176	1.26094835397161	1.77429555196402	4.30819316332067	3.95115040390143	3.13829390253004	3.52463332079729	0.0106746370623399	0.00126097839313523	0
Roseburia	5.69814531068283e-05	0.000255476181071298	0	0.201340289379435	0.265613582934636	0.186986933584312	0	0.0136767722817415	0.0311380974622451	0.73556390320608	1.13168724279835	0.768076502454284	0.338787194369304	0.36693278798128	0.148858245917734	0.16528611071806	0.24693887625825	0.0917249004788539	0	0.0258168153523995	0.0377529447296889	0.0772960438479376	0.032555615843733	0.143715348254301	0.152996492275543	0.0150432493418578	0	0	0
Lachnospira	2.84907265534141e-05	0.00221085156696316	0	4.98303721556636	4.63034593607463	0.239278288621832	0	3.13653977661272	8.64860657013856	0.683148423167642	0.524489631243444	0.747730105038277	0.291514562596843	2.8021394580564	0.075885030844131	0.0500615871088497	0.0648134926722534	0.00947172738835294	0	1.13020280542727	4.49637571730595	4.92937952357529	0.705371676614216	4.14935498372134	2.57108739458169	3.20872508461828	0.0106746370623399	0	0
