Genus	Basepaws_WGS1.DOWNSAMPLE_1M	Basepaws_WGS2.DOWNSAMPLE_1M	Bristle1.DOWNSAMPLE_1M	Kean5.DOWNSAMPLE_1M	Kean6a.DOWNSAMPLE_1M	Kean6b.DOWNSAMPLE_1M	Nebula_lcWGS.DOWNSAMPLE_1M	Ombre5.DOWNSAMPLE_1M	Ombre6.DOWNSAMPLE_1M	PetQCheck1.DOWNSAMPLE_1M	PetQCheck2.DOWNSAMPLE_1M	PetQCheck3.DOWNSAMPLE_1M	PetQCheck4.DOWNSAMPLE_1M	Psomagen1a.DOWNSAMPLE_1M	Psomagen1b.DOWNSAMPLE_1M	Psomagen2.DOWNSAMPLE_1M	Psomagen3.DOWNSAMPLE_1M	Psomagen4.DOWNSAMPLE_1M	SequencingDotCom_WGS.DOWNSAMPLE_1M	thryve2.DOWNSAMPLE_1M	thryve3a.DOWNSAMPLE_1M	thryve3b.DOWNSAMPLE_1M	thryve4.DOWNSAMPLE_1M	uBiome_Fecal2013.DOWNSAMPLE_1M	uBiome_Fecal2014.DOWNSAMPLE_1M	uBiome_Fecal2019.DOWNSAMPLE_1M	uBiome_Oral2014.DOWNSAMPLE_1M	uBiome_Oral2019.DOWNSAMPLE_1M	Veritas_WGS-DOWNSAMPLE_1M
Kaistia	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chelatococcus	2	35	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hartmannibacter	2	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breoghania	1	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	856	385	2	0	0	0	12	0	0	0	0	0	0	0	121	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rhodobacter	9	77	4	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cereibacter	9	59	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmobacter	6	68	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodovulum	6	73	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliiroseovarius	4	25	1	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cognatishimia	4	8	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasedimentitalea	3	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paroceanicella	2	33	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pacificitalea	2	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qingshengfaniella	2	16	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fuscovulum	2	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yoonia	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseicitreum	2	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frigidibacter	1	23	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haematobacter	1	7	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thioclava	1	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pelagovum	1	16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tritonibacter	1	13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Pontivivens	1	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobaca	1	7	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silicimonas	1	12	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodophyticola	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfitobacter	17	200	0	0	0	0	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leisingera	11	86	0	0	0	0	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Octadecabacter	8	15	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseovarius	7	83	0	0	0	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruegeria	6	65	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeobacter	5	94	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
