Genus	Basepaws_WGS1	Basepaws_WGS2	Bristle1	Kean5	Kean6a	Kean6b	Nebula_lcWGS	Ombre5	Ombre6	PetQCheck1	PetQCheck2	PetQCheck3	PetQCheck4	Psomagen1a	Psomagen1b	Psomagen2	Psomagen3	Psomagen4	SequencingDotCom_WGS	thryve2	thryve3a	thryve3b	thryve4	uBiome_Fecal2013	uBiome_Fecal2014	uBiome_Fecal2019	uBiome_Oral2014	uBiome_Oral2019	Veritas_WGS
Mannheimia	0.000130512668678302	0.0477641407106476	0	0	0	0	0.0149299267135337	0	0	0	0	0	0	0	0	0	0	6.61297810178431e-05	0.00103973016922648	0	0	0	0	0	0	0	0.867678958785249	0.0973759217746762	0
Aggregatibacter	1.86446669540431e-05	0.00572457629937342	0.0340729001584786	0	0	0	0.0382985076564559	0	0	0	0	0	0	0	0	2.60506012088e-05	0	0	0.0152493758153217	0	0	0	0	0	0	0	2.12581344902386	0.00304299755545863	0.555170020818876
Cardiobacterium	2.79670004310647e-05	0.200969167956726	0.42472266244057	0	0	0	0.00129825449682901	0	0	0	0	0	0	0	0	0	0	0	0.00926515106355154	0	0	0	0	0	0	0	2.48156182212581	0.00456449633318795	0.0693962526023595
Campylobacter	0.00059662934252938	0.0554094013657846	0.22662440570523	0.000490329476891998	0.000189053785802061	0.0148125720236845	0.180457375059233	0	0	0	0	0	0	0	0.0202611593575116	0.0188606352751712	0.014115642626993	0.0149453305100325	0.0265939872173262	0	0	0	0	0	0	0	0.199566160520607	0.946372239747634	0.416377515614157
Desulfomicrobium	6.5256334339151e-05	2.45990009255825	0	0.00612911846114997	0.004679081198601	0	0	0	0	0	0	0	0	0.00181418401631314	1.94072407639e-05	5.21012024176e-05	6.74314138232151e-05	4.40865206785621e-05	2.31051148716996e-05	0	0	0	0	0	0	0	0	0	0
Staphylococcus	1.33846335129685	0.0210713127615234	0.0166402535657686	0.0210841675063559	0.00751488798563191	0.0150735865086833	0.0324563624207253	0	0	0.0453245393307597	0.151978433536574	0.0756880733944954	0.11839752573334	0.00834524647504046	0.00956776969660272	0.0152135511059392	0.0143179368684627	0.0084866552306232	0.00420513090664933	0	0	0	0	0.000505586733404115	0	0.00120929220127459	0	0.0405733007394484	0.798056904927134
Bacillus	0.00304840304698605	0.00723301620804628	0.00396196513470681	0.359166341823388	0.448530106815389	0.00812407584558905	0.000649127248414507	0.00382102327003171	0.0139508928571429	0.381351296438116	0.0560872790432596	0.309633027522936	0.256125259749674	0.482210111536033	0.00314397300375181	0.0049756648308808	0.00348395638086611	0.00224841255460667	0.00339645188613984	0.0151320269350079	0.0289547340990252	0.0703709133558129	0.0768428563587464	0.0212346428029728	0.00547180651692156	0.00725575320764756	0.286334056399132	0.992017203079514	0
Gemella	7.45786678161725e-05	0.0683014095293489	1.13391442155309	0.000245164738445999	0.000189053785802061	0	0.51281052624746	0	0	0	0	0	0	0	0	2.60506012088e-05	0	6.61297810178431e-05	0.620418544534878	0	0	0	0	0	0	0	0	0	1.83900069396253
Streptococcus	0.00187378902888133	0.209570086193755	68.3217115689382	0.246390562138229	0.793931373475754	0.0299187853429926	66.5128235087924	1.92961675136602	0	0.0265695575387212	0.0235204718568508	0.153669724770642	0	0.0707531766362126	0.0132357382009798	0.017714408821984	0.0236684262519485	0.0790912180973404	65.0763185049327	0	0	0	0	0.289195611507154	0.317364777981451	0.0483716880509838	21.3882863340564	20.8201892744479	13.9833448993754
Lactobacillus	0.00143563935546132	0.00674581822512088	0.0269413629160063	0.0289294391366279	0.0163058890254277	0.00753679325434165	0.0214211991976787	0.053494325780444	0	0.0421987090320866	0.0669428814387292	0.0802752293577982	0.0265790363891171	0.0119736145076667	0.00250353405854311	0.0051059178369248	0.00418074765703933	0.00570920442787379	0.033687257482938	0.0453960808050238	0.0579094681980504	0	0.065865305450354	0.149653673087618	0.227079970452245	0.0858597462904962	0.0607375271149675	0.593891689573676	0
Clostridium	0.00312298171480222	0.00486261063727464	0	0.321410972102704	0.503970129501843	0.00557918461685031	0	0.0496733025104123	0.0279017857142857	0.381351296438116	4.51050279531762	0.589449541284404	6.92263084134732	0.376261764983346	0.00413374228271071	0.0038033877764848	0.00604635010614828	0.00626028593635582	0.000300366493332095	0.612847090867822	0.48257890165042	0.513121243219469	0.0274438772709808	0.117296122149755	0.114907936855353	0.00725575320764756	0.00867678958785249	0.00405733007394484	0
Blautia	0.000130512668678302	0.000224860607504029	0	3.47177786113379	1.85754797239815	0.301210715688667	0	8.59730235757136	4.21316964285714	2.60069080849601	2.70847279766966	4.80733944954128	3.26680519982603	2.82613586061261	0.183903013478717	0.203741752054025	0.242370978418576	0.482086103620076	2.31051148716996e-05	5.11966911301102	9.21082263616768	12.974637149978	22.5917997694714	7.3466808230952	14.4784000437745	10.6720036762483	0.0260303687635575	0	0
